,g2acck,g2acck_conv,g2avrtk,g2avrtk_conv,g2sdrtk,g2sdrtk_conv,wmacck,wmacck_conv,wmrtk,wmrtk_conv,wmsdk,wmsdk_conv
55,96.428571,0.96428571,363.54918,0.36354918,144.532424,0.020889622,93.650794,0.93650794,438,0.438,251.129006,0.063065778
56,,0,,0,,0,,0,,0,,0
57,98.809524,0.98809524,356.753968,0.356753968,132.859426,0.017651627,96.825397,0.96825397,434.166667,0.434166667,138.856259,0.019281061
58,98.809524,0.98809524,317.992063,0.317992063,92.199132,0.00850068,95.238095,0.95238095,509,0.509,146.870691,0.021571
59,,0,,0,,0,,0,,0,,0
60,,0,,0,,0,,0,,0,,0
61,,0,,0,,0,,0,,0,,0
62,94.047619,0.94047619,301.25,0.30125,201.542633,0.040619433,28.571429,0.28571429,493.333333,0.493333333,160.586048,0.025787879
63,98.809524,0.98809524,376.904762,0.376904762,67.212669,0.004517543,100,1,390,0.39,110.864373,0.012290909
64,97.619048,0.97619048,255,0.255,84.187885,0.0070876,98.412698,0.98412698,530,0.53,220.49531,0.048618182
65,95.833333,0.95833333,272.276423,0.272276423,120.39425,0.014494775,92.063492,0.92063492,662.375,0.662375,188.889943,0.035679411
66,95.238095,0.95238095,306.190476,0.306190476,83.252456,0.006930971,98.412698,0.98412698,493.333333,0.493333333,103.864714,0.010787879
67,95.238095,0.95238095,253.68,0.25368,60.715306,0.003686348,92.063492,0.92063492,324,0.324,30.623158,0.000937778
68,97.02381,0.9702381,291.896825,0.291896825,48.128799,0.002316381,100,1,420.833333,0.420833333,96.808934,0.00937197
69,97.619048,0.97619048,267.936508,0.267936508,67.306077,0.004530108,100,1,416.666667,0.416666667,91.386625,0.008351515
70,94.047619,0.94047619,301.833333,0.301833333,87.215404,0.007606527,93.650794,0.93650794,700.166667,0.700166667,529.709154,0.280591788
71,92.857143,0.92857143,290.072581,0.290072581,196.26472,0.03851984,98.412698,0.98412698,444.166667,0.444166667,91.895032,0.008444697
72,97.02381,0.9702381,290.857143,0.290857143,69.764485,0.004867083,98.412698,0.98412698,583.666667,0.583666667,183.28881,0.033594788
73,95.833333,0.95833333,290.648,0.290648,101.496405,0.01030152,98.412698,0.98412698,522.333333,0.522333333,261.271483,0.068262788
